mE,mPhi,delta
3,375.4153847305144,2.6380421881723156e-09
3,383.3962565127613,2.529493969424174e-09
3,405.6843366996203,2.259498362581403e-09
3,401.5977724497109,2.305662540801241e-09
3,417.6542476401134,2.1319792345250034e-09
3,371.44980192888187,2.6945944473521296e-09
3,362.3258598662842,2.8318194799208554e-09
3,379.59634147302796,2.5803244599073736e-09
3,402.79185243661783,2.2920283367160086e-09
3,414.4687146983533,2.164840785002916e-09
3,415.0795671061663,2.1584807132126502e-09
3,396.8875377719945,2.3606484977685145e-09
3,386.3592628929869,2.4908932936913843e-09
3,355.2075721499678,2.946289323587435e-09
4,368.294614036745,2.738145565282978e-09
4,418.19594881566815,2.124744825012918e-09
4,393.3123898805928,2.401547759512161e-09
4,395.0877533159325,2.3800552693838307e-09
4,354.7938799459344,2.9499941975353105e-09
4,388.2452688770186,2.464516060860528e-09
4,390.61298552719654,2.4347885343192066e-09
4,380.2804632031815,2.568614826499228e-09
4,367.5014690630014,2.7499510919931075e-09
4,402.9268573994599,2.2885196070468027e-09
4,390.40936754178017,2.4373238442877674e-09
4,358.8856579160117,2.8832637459105735e-09
4,403.46411093293415,2.282440388575756e-09
4,359.5514516956546,2.8726200568574976e-09
4,420.0610229572334,2.1059521775035167e-09
4,378.52028413533,2.5925088183402488e-09
4,369.53724642153037,2.7198018683620475e-09
4,425.11755587931145,2.0562379477739003e-09
4,425.30713355696236,2.054408418632302e-09
4,359.9154257453447,2.86682628390642e-09
4,379.6823466451134,2.576696939964678e-09
4,382.83544504896247,2.5345147442270544e-09
4,406.9231563052128,2.243873536395728e-09
4,377.89928228391386,2.6010183385700188e-09
4,386.44457042560316,2.487490296003834e-09
4,407.00450146051975,2.2429783625394265e-09
4,379.399569726834,2.580531273147661e-09
4,398.8907543734042,2.334975953241246e-09
4,387.3968843213758,2.4753003754586188e-09
4,358.96111172856195,2.8820545382449886e-09
4,356.03676263719984,2.9294819725000223e-09
4,353.83592777451753,2.9659512956236902e-09
4,384.2610794998475,2.5157817228575368e-09
4,422.58445141124787,2.080920036864427e-09
4,403.2046433979896,2.285373330800693e-09
4,423.14717933911055,2.0753986860508138e-09
4,362.0085044458809,2.8338460113957245e-09
4,367.30645364183323,2.7528654772764706e-09
4,392.1998259160176,2.4151650732055265e-09
4,413.83502138726783,2.169679527531548e-09
4,358.7905807244073,2.8847885172688026e-09
4,370.15160245749644,2.710800753283555e-09
4,387.1440710763065,2.4785277183712254e-09
4,399.9885778558885,2.322200774808973e-09
4,413.90226224666094,2.1689759070688713e-09
4,418.5152298629719,2.121509928473796e-09
4,397.7190907950647,2.3487269877156436e-09
4,428.3186926512123,2.025669554647602e-09
4,373.3277866661945,2.6649701779083966e-09
4,359.5629403334513,2.872436911447419e-09
4,421.0131758056514,2.096454148575231e-09
4,366.41384019710915,2.7662643198681595e-09
4,369.6224527116718,2.718550811300292e-09
4,377.6558281829831,2.604365793453687e-09
4,394.34559311492654,2.389004615776203e-09
4,390.35378251188433,2.4380166382926195e-09
4,399.69492573090537,2.325607666602736e-09
4,370.75227224743674,2.702043270024911e-09
4,425.10384836760375,2.0563703275153563e-09
4,372.5585710246462,2.6759623347927727e-09
4,367.94902364847195,2.7432801288633017e-09
4,407.9469719929712,2.2326457402521753e-09
